sample_id,temperature_k,pressure_mpa,salinity_wt_pct,ift_mn_m
IFT-001,323.15,5.0,2.0,30.719
IFT-002,323.15,5.0,6.0,32.521
IFT-003,323.15,7.143,2.0,29.665
IFT-004,323.15,7.143,6.0,30.975
IFT-005,323.15,9.286,2.0,28.237
IFT-006,323.15,9.286,6.0,31.683
IFT-007,323.15,11.429,2.0,29.028
IFT-008,323.15,11.429,6.0,30.671
IFT-009,323.15,13.571,2.0,27.994
IFT-010,323.15,13.571,6.0,30.82
IFT-011,323.15,15.714,2.0,28.602
IFT-012,323.15,15.714,6.0,29.429
IFT-013,323.15,17.857,2.0,27.113
IFT-014,323.15,17.857,6.0,28.762
IFT-015,323.15,20.0,2.0,26.441
IFT-016,323.15,20.0,6.0,28.497
IFT-017,323.15,22.143,2.0,26.045
IFT-018,323.15,22.143,6.0,28.346
IFT-019,323.15,24.286,2.0,25.698
IFT-020,323.15,24.286,6.0,27.221
IFT-021,323.15,26.429,2.0,26.416
IFT-022,323.15,26.429,6.0,26.465
IFT-023,323.15,28.571,2.0,23.884
IFT-024,323.15,28.571,6.0,26.661
IFT-025,323.15,30.714,2.0,23.038
IFT-026,323.15,30.714,6.0,26.08
IFT-027,323.15,32.857,2.0,24.512
IFT-028,323.15,32.857,6.0,25.44
IFT-029,323.15,35.0,2.0,23.366
IFT-030,323.15,35.0,6.0,23.547
IFT-031,343.15,5.0,2.0,28.921
IFT-032,343.15,5.0,6.0,30.338
IFT-033,343.15,7.143,2.0,27.284
IFT-034,343.15,7.143,6.0,30.809
IFT-035,343.15,9.286,2.0,26.736
IFT-036,343.15,9.286,6.0,27.96
IFT-037,343.15,11.429,2.0,25.84
IFT-038,343.15,11.429,6.0,28.554
IFT-039,343.15,13.571,2.0,26.722
IFT-040,343.15,13.571,6.0,28.309
IFT-041,343.15,15.714,2.0,25.769
IFT-042,343.15,15.714,6.0,26.98
IFT-043,343.15,17.857,2.0,26.022
IFT-044,343.15,17.857,6.0,26.411
IFT-045,343.15,20.0,2.0,24.174
IFT-046,343.15,20.0,6.0,27.391
IFT-047,343.15,22.143,2.0,24.561
IFT-048,343.15,22.143,6.0,26.272
IFT-049,343.15,24.286,2.0,24.338
IFT-050,343.15,24.286,6.0,25.08
IFT-051,343.15,26.429,2.0,23.071
IFT-052,343.15,26.429,6.0,25.354
IFT-053,343.15,28.571,2.0,22.502
IFT-054,343.15,28.571,6.0,24.641
IFT-055,343.15,30.714,2.0,22.33
IFT-056,343.15,30.714,6.0,23.132
IFT-057,343.15,32.857,2.0,22.502
IFT-058,343.15,32.857,6.0,22.556
IFT-059,343.15,35.0,2.0,21.511
IFT-060,343.15,35.0,6.0,22.924
IFT-061,363.15,5.0,2.0,27.383
IFT-062,363.15,5.0,6.0,27.352
IFT-063,363.15,7.143,2.0,25.693
IFT-064,363.15,7.143,6.0,27.501
IFT-065,363.15,9.286,2.0,25.649
IFT-066,363.15,9.286,6.0,27.616
IFT-067,363.15,11.429,2.0,25.219
IFT-068,363.15,11.429,6.0,26.553
IFT-069,363.15,13.571,2.0,25.171
IFT-070,363.15,13.571,6.0,27.385
IFT-071,363.15,15.714,2.0,23.107
IFT-072,363.15,15.714,6.0,25.505
IFT-073,363.15,17.857,2.0,23.968
IFT-074,363.15,17.857,6.0,25.05
IFT-075,363.15,20.0,2.0,23.893
IFT-076,363.15,20.0,6.0,24.263
IFT-077,363.15,22.143,2.0,21.787
IFT-078,363.15,22.143,6.0,24.532
IFT-079,363.15,24.286,2.0,20.129
IFT-080,363.15,24.286,6.0,23.142
IFT-081,363.15,26.429,2.0,22.955
IFT-082,363.15,26.429,6.0,22.954
IFT-083,363.15,28.571,2.0,21.135
IFT-084,363.15,28.571,6.0,21.804
IFT-085,363.15,30.714,2.0,20.373
IFT-086,363.15,30.714,6.0,21.816
IFT-087,363.15,32.857,2.0,21.082
IFT-088,363.15,32.857,6.0,20.738
IFT-089,363.15,35.0,2.0,17.565
IFT-090,363.15,35.0,6.0,21.144
IFT-091,383.15,5.0,2.0,25.568
IFT-092,383.15,5.0,6.0,25.632
IFT-093,383.15,7.143,2.0,22.86
IFT-094,383.15,7.143,6.0,24.868
IFT-095,383.15,9.286,2.0,23.813
IFT-096,383.15,9.286,6.0,24.686
IFT-097,383.15,11.429,2.0,23.045
IFT-098,383.15,11.429,6.0,23.005
IFT-099,383.15,13.571,2.0,22.165
IFT-100,383.15,13.571,6.0,24.535
IFT-101,383.15,15.714,2.0,21.817
IFT-102,383.15,15.714,6.0,22.843
IFT-103,383.15,17.857,2.0,22.158
IFT-104,383.15,17.857,6.0,23.636
IFT-105,383.15,20.0,2.0,20.657
IFT-106,383.15,20.0,6.0,21.998
IFT-107,383.15,22.143,2.0,21.276
IFT-108,383.15,22.143,6.0,21.608
IFT-109,383.15,24.286,2.0,19.825
IFT-110,383.15,24.286,6.0,22.622
IFT-111,383.15,26.429,2.0,19.539
IFT-112,383.15,26.429,6.0,20.615
IFT-113,383.15,28.571,2.0,17.618
IFT-114,383.15,28.571,6.0,20.446
IFT-115,383.15,30.714,2.0,18.332
IFT-116,383.15,30.714,6.0,19.503
IFT-117,383.15,32.857,2.0,18.476
IFT-118,383.15,32.857,6.0,18.555
IFT-119,383.15,35.0,2.0,16.331
IFT-120,383.15,35.0,6.0,18.368
