well_id,month,oil_rate_bpd,water_rate_bpd
W-04,0,861.5,215.48
W-04,1,794.94,192.37
W-04,2,774.5,195.53
W-04,3,770.27,162.8
W-04,4,737.86,209.98
W-04,5,708.83,189.19
W-04,6,664.54,169.26
W-04,7,629.96,183.23
W-04,8,642.36,203.95
W-04,9,604.65,169.13
W-04,10,615.54,205.94
W-04,11,585.85,188.12
W-04,12,550.88,180.4
W-04,13,555.59,189.27
W-04,14,549.19,189.11
W-04,15,525.21,196.42
W-04,16,494.7,191.12
W-04,17,500.41,206.79
W-04,18,489.64,211.76
W-04,19,485.44,199.32
W-04,20,472.17,212.87
W-04,21,435.37,182.05
W-04,22,431.57,201.63
W-04,23,438.27,194.59
W-04,24,394.57,184.57
W-04,25,421.33,213.29
W-04,26,389.4,190.91
W-04,27,386.72,205.47
W-04,28,403.56,202.36
W-04,29,375.24,199.61
W-04,30,364.4,209.77
W-04,31,364.31,224.01
W-04,32,352.32,198.94
W-04,33,338.85,219.81
W-04,34,342.59,216.0
W-04,35,357.93,250.92
W-04,36,337.16,218.44
W-04,37,325.37,214.38
W-04,38,317.29,221.64
W-04,39,317.26,214.7
W-04,40,309.63,225.43
W-04,41,288.62,213.74
W-04,42,297.42,238.43
W-04,43,287.6,227.27
W-04,44,299.01,227.33
W-04,45,275.16,213.88
W-04,46,284.42,229.69
W-04,47,257.05,203.65
W-04,48,266.3,215.43
W-04,49,252.62,247.27
W-04,50,247.01,220.79
W-04,51,257.61,256.19
W-04,52,238.22,224.21
W-04,53,241.64,236.02
W-04,54,233.13,221.69
W-04,55,238.56,260.97
W-04,56,233.94,245.7
W-04,57,210.88,245.96
W-04,58,230.25,250.67
W-04,59,216.66,261.28
W-17,0,641.29,154.81
W-17,1,562.93,141.59
W-17,2,586.42,141.95
W-17,3,542.13,142.86
W-17,4,525.49,140.46
W-17,5,535.12,142.92
W-17,6,533.71,134.08
W-17,7,529.54,151.21
W-17,8,487.61,123.6
W-17,9,497.6,144.5
W-17,10,478.52,162.51
W-17,11,457.93,150.77
W-17,12,432.62,145.34
W-17,13,437.24,145.11
W-17,14,478.14,163.97
W-17,15,403.23,143.94
W-17,16,404.76,143.69
W-17,17,385.73,134.95
W-17,18,407.6,173.19
W-17,19,404.28,181.99
W-17,20,389.51,161.82
W-17,21,389.2,177.77
W-17,22,355.55,152.06
W-17,23,369.19,174.84
W-17,24,331.95,149.15
W-17,25,352.63,180.82
W-17,26,344.69,174.73
W-17,27,314.23,154.14
W-17,28,325.02,177.6
W-17,29,296.96,174.68
W-17,30,287.73,161.79
W-17,31,282.23,162.54
W-17,32,279.69,165.65
W-17,33,273.98,167.28
W-17,34,278.79,183.05
W-17,35,291.25,196.41
W-17,36,267.14,160.12
W-17,37,256.77,181.35
W-17,38,265.9,181.6
W-17,39,252.87,191.16
W-17,40,251.3,185.33
W-17,41,249.45,192.43
W-17,42,245.41,182.66
W-17,43,231.85,170.98
W-17,44,231.42,186.49
W-17,45,236.89,201.38
W-17,46,222.59,192.07
W-17,47,219.88,194.74
W-17,48,220.37,195.51
W-17,49,217.59,201.69
W-17,50,208.59,186.15
W-17,51,211.56,198.76
W-17,52,204.1,185.58
W-17,53,191.68,189.61
W-17,54,202.16,202.74
W-17,55,188.66,196.64
W-17,56,212.05,235.56
W-17,57,190.48,208.39
W-17,58,183.85,182.92
W-17,59,188.28,227.85
W-29,0,944.45,213.4
W-29,1,925.95,189.02
W-29,2,842.0,207.66
W-29,3,857.32,232.49
W-29,4,845.57,198.36
W-29,5,729.77,204.25
W-29,6,778.91,236.29
W-29,7,697.74,209.37
W-29,8,678.77,199.77
W-29,9,675.22,207.65
W-29,10,701.91,215.06
W-29,11,593.81,195.97
W-29,12,601.32,191.34
W-29,13,598.05,208.45
W-29,14,593.44,203.57
W-29,15,561.77,192.54
W-29,16,556.92,228.69
W-29,17,514.62,183.81
W-29,18,534.2,235.55
W-29,19,525.56,196.26
W-29,20,474.97,212.82
W-29,21,468.62,208.44
W-29,22,476.91,200.12
W-29,23,464.61,211.5
W-29,24,456.94,208.8
W-29,25,419.56,197.72
W-29,26,422.66,222.51
W-29,27,411.94,202.94
W-29,28,429.71,210.19
W-29,29,400.09,230.23
W-29,30,386.07,220.87
W-29,31,372.69,215.14
W-29,32,377.22,220.68
W-29,33,385.25,241.2
W-29,34,342.64,216.99
W-29,35,356.94,227.07
W-29,36,355.02,226.96
W-29,37,366.26,257.59
W-29,38,344.0,251.91
W-29,39,345.6,248.98
W-29,40,324.45,265.85
W-29,41,302.62,226.71
W-29,42,297.0,227.62
W-29,43,299.53,248.47
W-29,44,303.57,245.38
W-29,45,294.07,243.2
W-29,46,287.37,237.4
W-29,47,305.8,267.8
W-29,48,258.91,212.63
W-29,49,268.03,234.46
W-29,50,297.14,262.48
W-29,51,272.69,235.88
W-29,52,259.33,262.55
W-29,53,251.24,245.91
W-29,54,265.06,259.87
W-29,55,260.2,275.03
W-29,56,257.4,260.88
W-29,57,235.34,266.58
W-29,58,244.28,289.44
W-29,59,237.84,257.11
