well_id,field,x_m,y_m,net_pay_m,porosity_fraction,water_saturation_fraction,permeability_md,pressure_mpa,temperature_k,oil_rate_bpd
W-01,North,4246.2,5106.8,13.49,0.1862,0.4439,82.25,21.41,352.37,335.1
W-02,North,4848.1,260.9,22.66,0.2528,0.3116,42.4,22.91,354.51,214.5
W-03,South,6941.9,1089.0,19.92,0.2046,0.3657,72.48,20.15,346.58,309.4
W-04,South,4824.9,1420.5,17.22,0.195,0.38,20.75,25.78,352.32,66.2
W-05,Central,3300.6,1496.3,17.8,0.1977,0.3922,38.68,23.38,365.4,184.1
W-06,South,2993.5,3427.4,14.73,0.2286,0.4272,58.27,19.88,359.66,200.7
W-07,South,3407.1,2497.6,20.23,0.2228,0.3737,68.07,21.16,368.86,229.2
W-08,Central,5215.4,295.5,15.73,0.2244,0.396,72.73,24.88,364.42,246.9
W-09,Central,6939.9,2241.7,11.87,0.2251,0.4709,75.75,26.35,358.51,248.7
W-10,South,3631.2,3142.5,11.61,0.285,0.3425,64.9,29.59,368.95,304.1
W-11,Central,1982.7,610.0,18.86,0.1958,0.472,36.11,32.16,358.51,119.4
W-12,Central,1893.3,5000.8,25.9,0.1921,0.4001,63.98,25.16,361.62,253.8
W-13,South,5968.1,311.8,18.8,0.1815,0.4424,37.45,21.23,352.63,157.0
W-14,North,6532.6,5549.1,17.41,0.2316,0.3638,31.04,18.03,355.53,157.4
W-15,Central,842.2,594.7,19.43,0.2495,0.3752,36.86,24.75,349.42,218.7
W-16,North,532.5,5061.4,24.53,0.206,0.4674,31.26,21.72,362.92,173.8
W-17,North,4755.5,5415.9,19.1,0.1806,0.3747,50.77,22.84,345.57,269.7
W-18,South,1169.4,5877.4,15.95,0.1811,0.4715,43.42,22.29,361.26,177.9
W-19,Central,6597.3,4812.2,23.53,0.2328,0.4162,75.74,23.61,353.47,254.6
W-20,North,2482.7,4676.9,20.14,0.236,0.3759,46.7,26.98,364.37,203.3
W-21,North,1151.0,3854.9,25.68,0.229,0.3438,58.29,24.44,361.01,260.6
W-22,Central,7367.8,4674.0,18.92,0.1867,0.4502,55.8,23.56,369.57,224.2
W-23,North,1324.3,807.3,11.88,0.2181,0.3949,44.24,21.1,360.85,162.5
W-24,North,2277.8,3216.4,11.16,0.2141,0.4328,60.95,19.31,342.42,238.7
W-25,North,1228.9,3085.3,26.25,0.2177,0.4201,37.64,22.64,354.46,186.2
W-26,South,923.9,5145.4,26.62,0.2405,0.4706,49.38,23.85,345.62,285.8
W-27,Central,169.2,2776.8,17.1,0.2178,0.4082,42.74,28.95,350.85,259.5
W-28,North,443.2,2310.5,16.08,0.2338,0.3586,32.6,24.36,367.09,144.2
W-29,North,1397.1,3837.4,25.31,0.2124,0.4319,61.15,26.75,360.1,226.3
W-30,South,427.1,1598.8,12.46,0.2201,0.4268,41.66,22.6,349.41,136.2
W-31,South,4729.2,838.6,13.53,0.2321,0.4673,55.6,20.68,346.89,192.6
W-32,Central,5445.7,2867.3,21.22,0.159,0.5095,44.27,21.3,355.26,188.8
W-33,South,3149.0,2501.3,16.03,0.1988,0.4521,55.36,21.97,345.27,258.7
W-34,Central,2543.9,1395.4,17.97,0.1935,0.5067,59.18,29.96,349.63,185.9
W-35,Central,4036.2,2205.1,17.18,0.1876,0.3926,40.51,21.7,357.5,167.8
W-36,South,7000.0,2198.4,19.69,0.2004,0.4059,37.78,26.35,364.24,105.8
